CUSTID,AGE,AGEGRP1,AGEGRP2,AGEGRP3,AGEGRP4,AGEGRP5,AGEGRP6,SEX,EDUC,INCOME,INCGRP1,INCGRP2,INCGRP3,INCGRP4,INCGRP5,INCGRP6,KIDHOME,TEENHOME,GOURMAGS,WINEMAGS,STYLMAGS,HOUSMAGS,SPRTMAGS,TRAVMAGS,CULTMAGS,COMPMAGS,FIRSTPUR,LASTPUR,NPURCH,TBOTTLES,TOTCAT,TOTCREV,TOTCCOST,TOTCPROF,REV1STYR,REVLSTYR,COSTLAST,LTV,PROBSTAY,AVGPURCH,AVGDISC,AVGQUAL,PCTWEB,PERCDR,PERCSR,PERCDW,PERCSW,PERCDE,PERCEX,TOTLCOMP,DATELATE,TOTWCOMP,DATEWRNG,TOTPCOMM,DATELIKE,WINELOVR,WINEKNOW,COMPKNOW,KNOWALTW,STATUS,PARTIES,TRAVEL,CULTURAL,SATISWWW,TRUSTWWW,VALUEWWW,LOYALWWW,FACEBOOK,WINETAST
10011,39,0,0,1,0,0,0,0,18,103894,0,0,0,0,1,0,0,0,2,1,0,0,1,1,1,0,341,233,2,5,4,222.64,185.36,37.28,222.64,222.64,182.11,113.68,70,111.32,0,100,50,40,60,0,0,0,60,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10012,26,0,1,0,0,0,0,0,20,32940,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,261,261,1,1,3,8.09,14.22,-6.13,8.09,8.09,13.97,-16.5,70,8.09,41,91,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
10013,68,0,0,0,0,0,1,0,18,162203,0,0,0,0,0,1,0,0,2,1,0,0,1,1,1,1,284,10,7,18,4,649.49,525.35,124.14,649.49,649.49,523.6,353.11,70,92.78,0,99,100,28,28,17,0,28,17,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
10014,40,0,0,1,0,0,0,1,20,96609,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,89,4,2,2,1,85.81,75.65,10.16,85.81,85.81,69.65,45.33,70,42.91,0,100,0,50,50,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10015,46,0,0,0,1,0,0,0,16,79453,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,1,1084,1084,1,1,12,18.02,26.67,-8.65,18.02,0,12,-33.66,70,18.02,0,79,100,0,0,0,0,100,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10016,67,0,0,0,0,0,1,0,16,145813,0,0,0,0,0,1,0,0,2,1,0,0,1,1,0,0,876,6,29,68,10,2492.64,2014.1,478.54,816.38,1245.22,1006.18,1202.6,90,85.95,0,99,97,62,24,4,4,6,12,0,.,0,.,0,.,5,6,4,4,1,6,4,5,4,5,5,5,0,1
10017,65,0,0,0,0,0,1,1,14,117913,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,69,69,1,2,1,74.74,63.8,10.94,74.74,74.74,60.8,39.1,70,74.74,0,100,0,0,100,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10018,39,0,0,1,0,0,0,1,14,156412,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1180,77,25,41,13,270.97,687.62,-416.65,72.76,100.24,233.58,-670.83,90,10.84,68,81,96,41,37,0,17,5,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10019,72,0,0,0,0,0,1,0,20,141680,0,0,0,0,0,1,0,0,2,2,0,0,2,1,2,0,128,128,1,2,2,77.46,64.21,13.25,77.46,77.46,63.96,37.87,70,77.46,0,99,100,0,0,100,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
10020,41,0,0,1,0,0,0,0,14,70348,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,845,845,1,1,10,11.57,22.26,-10.69,11.57,0,10,-28.05,70,11.57,0,73,0,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10021,60,0,0,0,0,1,0,0,14,116631,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1407,5,52,109,16,3840.94,3120.82,720.12,563.95,1214.57,987.72,1141.27,90,73.86,0,100,96,40,40,4,2,14,13,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10022,43,0,0,1,0,0,0,1,16,32957,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,674,674,1,1,8,21.83,25.71,-3.88,21.83,0,8,-22.44,70,21.83,0,90,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10023,61,0,0,0,0,1,0,1,19,159014,0,0,0,0,0,1,0,0,2,2,1,0,1,0,0,0,212,179,2,6,3,303.36,246.17,57.19,303.36,303.36,245.67,161.82,70,151.68,0,100,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
10024,40,0,0,1,0,0,0,1,14,37928,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1399,152,12,12,16,83.96,256.55,-172.59,9.65,50.45,120.99,-354.89,90,7,67,80,0,50,17,0,25,8,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10025,56,0,0,0,0,1,0,0,20,75412,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,50,50,1,2,1,20.36,20.28,0.08,20.36,20.36,17.28,8.64,70,20.36,0,87,0,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
10026,59,0,0,0,0,1,0,1,16,136961,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1006,50,14,21,12,294.85,261.77,33.08,88,69.97,78.39,-42.35,90,21.06,5,85,100,33,5,10,38,14,33,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
10027,66,0,0,0,0,0,1,1,14,174921,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,736,1,14,34,9,1250.07,1024.42,225.65,435.11,814.96,672.82,715.12,90,89.29,2,98,100,65,24,0,0,12,6,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
10028,60,0,0,0,0,1,0,0,17,101662,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,373,373,1,2,5,24.45,66.37,-41.92,24.45,0,5,-14.02,70,24.45,68,88,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10029,67,0,0,0,0,0,1,0,16,101590,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,861,861,1,2,10,35.2,41.16,-5.96,35.2,0,10,-28.05,70,35.2,0,79,0,0,0,100,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10030,47,0,0,0,1,0,0,1,15,90727,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,142,142,1,2,2,69.34,60.48,8.86,69.34,69.34,57.48,33.27,70,69.34,0,100,0,0,100,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10031,68,0,0,0,0,0,1,1,19,128323,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,41,41,1,1,1,30.77,25.87,4.9,30.77,30.77,25.62,14.45,70,30.77,0,100,100,0,0,0,0,100,100,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10032,41,0,0,1,0,0,0,1,18,92798,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1236,3,13,15,14,518.29,474.78,43.51,119.56,196.1,198.87,-13.94,90,39.87,1,99,69,60,27,7,0,7,20,1,3,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10033,49,0,0,0,1,0,0,1,19,121625,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1048,1048,1,1,12,6.44,32.87,-26.43,6.44,0,12,-33.66,70,6.44,75,78,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10034,36,0,0,1,0,0,0,0,17,107173,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,311,311,1,1,4,6.15,16.83,-10.69,6.15,6.15,13.83,-21.56,70,6.15,50,86,0,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
10035,50,0,0,0,1,0,0,0,15,105612,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1161,24,12,12,13,435.03,388.61,46.42,27.57,288.68,246.52,212.11,90,36.25,1,100,33,42,42,0,0,17,8,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10036,45,0,0,0,1,0,0,1,18,64992,0,0,1,0,0,0,0,0,1,2,1,1,0,1,0,0,485,42,5,5,6,179.65,164.72,14.93,143.11,148.93,125.14,87.2,80,35.93,0,100,0,40,60,0,0,0,40,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10037,61,0,0,0,0,1,0,1,13,114750,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,700,1,8,17,8,500.34,424.01,76.33,85.46,414.88,339.9,274.82,80,62.54,0,94,38,35,47,0,18,0,18,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10038,41,0,0,1,0,0,0,0,14,29695,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,540,3,3,14,98.94,104.89,-5.95,64.77,0,14,-39.27,70,32.98,10,95,0,67,0,0,33,0,33,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10039,29,0,1,0,0,0,0,0,17,68356,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,426,29,4,5,5,90.84,95.12,-4.28,86.41,69.85,70,-0.54,80,22.71,27,87,100,0,80,0,20,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10040,45,0,0,0,1,0,0,1,12,41834,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,355,355,1,1,4,5.16,18.46,-13.3,5.16,5.16,15.46,-28.9,70,5.16,64,73,0,0,0,0,100,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10041,74,0,0,0,0,0,1,0,20,163120,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0,611,12,16,38,7,650.66,1085.41,-434.75,173.85,584.45,966.15,-1399.05,80,40.67,54,96,100,50,50,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
10042,37,0,0,1,0,0,0,0,13,65693,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,133,21,2,2,2,39.11,80.25,-41.14,39.11,39.11,74.25,-98.57,70,19.55,57,99,0,50,50,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10043,38,0,0,1,0,0,0,1,15,49258,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1379,13,8,8,16,60.03,175.5,-115.47,16.66,32.28,83.67,-258.55,90,7.5,65,80,0,25,63,0,13,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10044,32,0,1,0,0,0,0,0,14,34250,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,389,175,2,2,5,55.01,55.01,0,55.01,22.3,22.84,-1.98,80,27.51,0,100,0,0,50,0,50,0,50,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10045,62,0,0,0,0,1,0,1,19,130760,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,0,82,82,1,2,1,77.46,63.21,14.25,77.46,77.46,62.96,40.67,70,77.46,0,99,100,0,0,100,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10046,54,0,0,0,1,0,0,0,19,100754,0,0,0,0,1,0,0,0,1,2,0,0,0,1,2,0,237,237,1,2,3,28.64,28.92,-0.28,28.64,28.64,25.92,7.63,70,28.64,0,73,0,0,0,0,100,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10047,65,0,0,0,0,0,1,0,18,116720,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,613,12,7,14,7,370.34,316.03,54.31,201.7,273.96,226.18,175.13,80,52.91,0,97,43,43,43,0,14,0,14,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10048,71,0,0,0,0,0,1,0,14,130583,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,970,19,18,33,11,1130.05,963.84,166.21,162.6,796.67,648.35,746.19,90,62.78,2,99,50,64,9,18,3,6,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10049,54,0,0,0,1,0,0,1,16,138501,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1267,74,10,22,14,412.86,363.31,49.55,90.42,205.88,178.71,136.69,90,41.29,0,83,40,73,0,0,18,9,9,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10050,63,0,0,0,0,1,0,1,18,82387,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1093,11,12,16,13,182.4,234.37,-51.97,34.48,56.66,90.09,-168.2,90,15.2,23,80,42,63,0,13,13,13,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10051,54,0,0,0,1,0,0,0,14,169180,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1429,0,17,35,16,903.25,830.83,72.42,6.15,468.59,435.43,166.83,90,53.13,11,89,47,57,11,9,23,0,6,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10052,66,0,0,0,0,0,1,1,12,157688,0,0,0,0,0,1,0,0,1,1,2,2,0,0,0,0,760,30,31,90,9,2301.19,1950.96,350.23,664.41,1579.5,1280.55,1504,90,74.23,0,90,0,40,31,8,14,7,16,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
10053,62,0,0,0,0,1,0,0,12,186750,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1363,7,76,213,15,7376.45,6161.08,1215.37,1470.39,1818.58,1480.13,1702.72,90,97.06,1,99,18,45,31,8,2,14,11,0,.,0,.,0,.,4,5,3,6,5,5,4,5,5,6,6,3,0,0
10054,38,0,0,1,0,0,0,0,15,140211,0,0,0,0,0,1,1,0,1,2,0,0,0,2,1,0,127,56,3,5,2,146.28,119.78,26.5,146.28,146.28,119.03,76.43,70,48.76,0,98,100,60,40,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10055,32,0,1,0,0,0,0,1,17,39671,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1150,334,2,2,13,33.83,85.38,-51.55,21.5,12.33,41.18,-145.16,90,16.91,62,100,50,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10056,52,0,0,0,1,0,0,1,14,77247,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,37,37,1,1,1,12.22,34.56,-22.34,12.22,12.22,31.56,-54.24,70,12.22,68,88,0,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10057,36,0,0,1,0,0,0,1,19,96156,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1091,6,7,7,12,131.6,121.33,10.27,21.23,110.37,102.6,39.11,90,18.8,2,89,100,43,29,14,14,0,29,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10058,53,0,0,0,1,0,0,0,12,92173,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,552,28,10,18,7,227.92,363.7,-135.78,61.76,203.98,291.72,-321.61,80,22.79,45,89,0,56,22,0,0,22,11,0,.,0,.,0,.,4,3,2,4,5,4,4,2,6,6,6,6,1,0
10059,33,0,1,0,0,0,0,0,20,65902,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,978,281,4,4,11,43,46.4,-3.4,20.36,11.07,19.86,-44.22,90,10.75,0,80,100,100,0,0,0,0,0,0,.,0,.,1,978,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10060,55,0,0,0,0,1,0,0,20,179921,0,0,0,0,0,1,0,1,2,2,1,0,1,2,1,0,1392,119,32,68,16,2348.56,1902.93,445.63,397.04,578.68,478.96,501.69,90,73.39,0,99,100,32,34,15,3,16,12,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
10061,58,0,0,0,0,1,0,1,14,114559,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,1053,2,4,4,12,71.46,153.72,-82.26,10.12,49.02,96.06,-236.67,90,17.87,58,96,25,75,25,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10062,54,0,0,0,1,0,0,1,17,83258,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,0,670,378,2,3,8,71.93,66.04,5.89,71.93,0,8,-22.44,70,35.97,0,91,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10063,60,0,0,0,0,1,0,0,16,125696,0,0,0,0,0,1,0,0,2,2,0,1,1,1,1,0,830,102,22,50,10,1910.63,1604.55,306.08,175.24,1467.51,1184.04,1426.13,90,86.85,0,100,0,60,32,4,4,0,10,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
10064,68,0,0,0,0,0,1,1,20,116913,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,127,127,1,2,2,15.53,42.33,-26.8,15.53,15.53,42.08,-74.47,70,15.53,69,82,100,0,0,0,0,100,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10065,27,0,1,0,0,0,0,0,16,48046,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,642,185,2,2,8,54.91,52.43,2.48,40.02,14.89,19.91,-18.4,80,27.46,0,97,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0
10066,54,0,0,0,1,0,0,0,15,99816,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,353,221,4,8,4,127.12,106.68,20.44,127.12,127.12,105.68,60.14,70,31.78,0,88,100,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10067,46,0,0,0,1,0,0,0,16,148665,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,518,518,1,3,6,66.9,62.52,4.38,66.9,0,6,-16.83,70,66.9,0,100,0,0,0,0,100,0,100,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10068,41,0,0,1,0,0,0,0,12,100602,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,764,336,2,2,9,24.45,76.12,-51.67,12.22,12.22,39.56,-137.53,90,12.22,68,88,0,100,0,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10069,70,0,0,0,0,0,1,1,12,62551,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1106,545,2,2,13,22.84,47.51,-24.67,15.95,0,13,-36.46,70,11.42,33,85,0,0,50,0,0,50,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10070,37,0,0,1,0,0,0,0,15,29046,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,769,447,3,3,9,48.39,85.7,-37.31,48.39,0,9,-25.24,70,16.13,34,89,0,67,0,33,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10071,67,0,0,0,0,0,1,0,16,89649,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,872,49,4,7,10,94.79,97.86,-3.07,41.41,53.38,52.72,3.32,90,23.7,0,78,0,57,0,0,29,14,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10072,71,0,0,0,0,0,1,1,18,154138,0,0,0,0,0,1,0,0,2,1,1,1,1,1,0,0,1015,8,17,29,12,936.06,793.09,142.97,209.8,436.83,389.45,238.37,90,55.06,0,98,100,31,52,10,7,0,3,0,.,1,236,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10073,42,0,0,1,0,0,0,1,14,46670,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,331,96,2,2,4,8.86,35.32,-26.46,8.86,8.86,29.32,-57.38,70,4.43,72,83,0,0,100,0,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10074,40,0,0,1,0,0,0,0,15,38209,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1342,136,4,4,15,35.58,104.56,-68.98,5.48,4.17,26.93,-114.48,90,8.9,69,86,50,50,25,0,25,0,0,0,.,0,.,0,.,5,4,3,4,2,3,2,3,6,4,5,4,0,0
10075,71,0,0,0,0,0,1,1,13,138802,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,764,351,2,5,9,157.31,140.84,16.47,116.19,41.12,41.9,-3.92,90,78.66,0,94,0,40,0,60,0,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10076,48,0,0,0,1,0,0,0,15,134011,0,0,0,0,0,1,0,0,1,2,1,1,1,1,0,0,899,7,30,69,10,2665.86,2161.29,504.57,196.14,1943.18,1564.61,1904.57,90,88.86,0,100,87,64,17,13,0,6,6,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,1
10077,55,0,0,0,0,1,0,0,14,82096,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,783,60,5,5,9,133.52,125.32,8.2,68.12,65.4,61.33,20.48,90,26.7,0,94,40,20,60,0,0,20,20,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10078,67,0,0,0,0,0,1,1,15,100025,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1121,52,30,60,13,2146,1842.33,303.67,614.77,990.41,805.34,931.08,90,71.53,0,99,7,47,25,10,7,12,15,0,.,1,813,0,.,5,5,2,3,3,6,4,4,4,3,5,4,0,1
10079,39,0,0,1,0,0,0,0,20,94437,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,837,12,15,15,10,452.62,439.23,13.39,173.24,236.11,225.6,52.85,90,30.17,12,99,53,40,40,0,7,13,13,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10080,53,0,0,0,1,0,0,0,17,122731,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,552,552,1,2,7,8.35,33.86,-25.51,8.35,0,7,-19.63,70,8.35,72,74,0,0,0,0,100,0,0,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
10081,62,0,0,0,0,1,0,1,16,83842,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,1191,33,6,7,14,109.51,131.17,-21.66,37.5,40.69,53.89,-66.43,90,18.25,14,79,0,57,0,0,43,0,14,0,.,0,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0
